PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-14,16:50:07.79,1,1,"Ladd, Raymond",811685,Right,RAD_HIG,"Bottone, Evan",94790,Left,AKR_ZIP,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.21034,-1.845486,-3.490549,2288.231001,209.701219,1:00,5.83863,2.63316,7.59579,-11.87922,18.90135,10.23363,3.18636,0.34486,84.38039,-4.211346,-1.598348,0.39931,70.65625,27.263686,-151.967614,3198.154651,-100.65421,23.76724,-44.36957,165.56943,49.30564,-158.238168,2.199549,-6.53599,11.12024,-2.4567,50,5.7407,7.83323,-134.05622,-4.50702,-11.90295,28.77325,-11.92252,RAD_HIG,AKR_ZIP,CarterMemorial,D1,BSOU,20250214-CarterMemorial-3,a8de3ad0-eb1d-11ef-9d97-67270e2133c7,94.39404,25.90881,,7.82995,,,,0.0893,2.98635,-0.20965,29fdb2ae-b160-4348-bc08-7c6ecc6c1c1f,2025-02-14,21:50:07.79,2025-02-14T16:50:07.7923840-05:00,2025-02-14T21:50:07.7923840Z,FlyBall,v3,471417,akron,,"Biggerstaff, Drew",1000268568,Right,RAD_HIG,5b71304c-151f-4138-aa09-dc0c43f908bb,52.90512,-134.67832,14.38662,5.83535,-4.24925,-5.96126,-2.62885,8.09058,-5.95148,40.137738,0.08934,-81.31199,4.2326,0.65214,-0.17553,0.06306,-0.04475,0.02338,-0.00424,2.98639,47.46809,-27.37061,3.33156,-0.55944,0.04342,0.002,0.00199,-0.00053,-0.20968,-43.28937,9.67733,-1.69349,0.17034,0.11097,-0.07625,0.02404,-0.0033,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
2,2025-02-14,16:50:24.50,1,2,"Ladd, Raymond",811685,Right,RAD_HIG,"Bottone, Evan",94790,Left,AKR_ZIP,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.25042,-1.191252,-5.105792,2415.73193,216.047322,1:15,5.83111,2.65099,7.57667,-14.73682,16.40773,11.17355,3.52755,-1.02073,83.65634,-4.101378,-3.047898,0.401664,,,,,,,,,,,,-7.58071,9.60067,-2.3901,50,5.76548,11.56183,-133.76556,-3.05596,-13.62794,30.96003,-14.91481,RAD_HIG,AKR_ZIP,CarterMemorial,D1,BSOU,20250214-CarterMemorial-3,b2dafe10-eb1d-11ef-9d97-67270e2133c7,93.84083,,,8.59408,,,,,,,29fdb2ae-b160-4348-bc08-7c6ecc6c1c1f,2025-02-14,21:50:24.50,2025-02-14T16:50:24.5026816-05:00,2025-02-14T21:50:24.5026816Z,,v3,471417,akron,,"Biggerstaff, Drew",1000268568,Right,RAD_HIG,200fc3a1-8e22-4000-8bdf-5e460a875bbc,52.92244,-134.44025,15.48002,5.82853,-2.73093,-7.45741,-2.6453,11.85882,-6.81397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-14,16:50:39.36,1,3,"Ladd, Raymond",811685,Right,RAD_HIG,"Bottone, Evan",94790,Left,AKR_ZIP,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.63612,-1.892934,-2.412212,2406.275672,202.246022,12:45,5.82414,2.80592,7.55452,-11.978,19.6669,7.58067,3.12116,1.26658,82.6629,-4.307361,-1.009612,0.404877,,,,,,,,,,,,-4.86335,11.6132,-2.68213,50,5.72212,5.33984,-133.1433,-4.56138,-8.59722,32.64222,-11.64468,RAD_HIG,AKR_ZIP,CarterMemorial,D1,BSOU,20250214-CarterMemorial-3,bbb0cd80-eb1d-11ef-9d97-67270e2133c7,93.09598,,,8.97322,,,,,,,29fdb2ae-b160-4348-bc08-7c6ecc6c1c1f,2025-02-14,21:50:39.36,2025-02-14T16:50:39.3699328-05:00,2025-02-14T21:50:39.3699328Z,,v3,471417,akron,,"Biggerstaff, Drew",1000268568,Right,RAD_HIG,2f9530eb-2b3d-47d7-b443-c91cb7c6269d,52.94286,-133.86285,16.32111,5.81984,-4.30469,-5.82234,-2.80193,5.52935,-4.29861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-14,16:50:54.41,1,4,"Ladd, Raymond",811685,Right,RAD_HIG,"Bottone, Evan",94790,Left,AKR_ZIP,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,91.01411,-1.713741,-3.459453,2275.883713,204.359424,12:45,5.7949,2.65476,7.69776,-14.03146,17.74725,7.54394,3.08512,0.17653,82.54309,-4.504404,-2.061919,0.405732,76.98276,3.927093,12.019376,936.609053,,,,64.28291,62.65814,11.431709,0.605633,-5.20481,10.58796,-2.48563,50,5.70669,7.74973,-132.25353,-4.19123,-9.12227,30.95249,-13.61687,RAD_HIG,AKR_ZIP,CarterMemorial,D1,BSOU,20250214-CarterMemorial-3,c4ac9b80-eb1d-11ef-9d97-67270e2133c7,92.89978,3.69615,,8.47102,,,,0.49905,3.01829,-0.10911,29fdb2ae-b160-4348-bc08-7c6ecc6c1c1f,2025-02-14,21:50:54.41,2025-02-14T16:50:54.4160256-05:00,2025-02-14T21:50:54.4160256Z,GroundBall,v3,471417,akron,,"Biggerstaff, Drew",1000268568,Right,RAD_HIG,35d8b9ee-6242-4805-b10f-b11b6429f988,52.80232,-132.90776,15.47624,5.79223,-3.90342,-6.80844,-2.65148,7.94255,-4.56114,14.604381,0.50873,109.95752,-11.18901,,,,,,,3.04,7.25053,-20.31577,,,,,,,-0.1043,23.34987,-3.54635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-02-14,16:51:28.34,2,1,"Ladd, Raymond",811685,Right,RAD_HIG,"Poist, Jack",1000213165,Left,AKR_ZIP,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.65877,-1.421505,-2.463012,2239.594953,221.273161,1:30,5.8369,2.71662,7.50704,-15.9217,15.65934,12.78001,3.22884,1.56275,82.94189,-4.556764,-0.099575,0.404469,,,,,,,,,,,,-7.62784,9.25831,-2.58862,50,5.75754,5.2702,-133.22892,-3.61175,-13.54613,31.81773,-15.73245,RAD_HIG,AKR_ZIP,CarterMemorial,D1,BSOU,20250214-CarterMemorial-3,d8db62d0-eb1d-11ef-9d97-67270e2133c7,93.19004,,,8.71688,,,,,,,29fdb2ae-b160-4348-bc08-7c6ecc6c1c1f,2025-02-14,21:51:28.34,2025-02-14T16:51:28.3453952-05:00,2025-02-14T21:51:28.3453952Z,,v3,471417,akron,,"Biggerstaff, Drew",1000268568,Right,RAD_HIG,8bfe1456-a67f-4fb9-8c6a-92cc04f4f49d,52.99069,-133.94125,15.90887,5.83446,-3.25954,-7.86623,-2.71,5.57347,-6.77306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-14,16:51:41.78,2,2,"Ladd, Raymond",811685,Right,RAD_HIG,"Poist, Jack",1000213165,Left,AKR_ZIP,Undefined,1,Top,1,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.6006,-1.66251,-3.516207,2254.369979,217.966783,1:15,5.7771,2.69432,7.43476,-17.2732,15.20135,10.97725,2.83553,0.43494,82.01212,-5.044233,-1.492208,0.41015,68.60829,44.182584,-142.37062,4101.489073,,,,,42.0482,,,-7.03741,9.10091,-2.50709,50,5.68268,7.70346,-131.56075,-4.17921,-12.18383,31.08294,-16.41766,RAD_HIG,AKR_ZIP,CarterMemorial,D1,BSOU,20250214-CarterMemorial-3,e0e15f20-eb1d-11ef-9d97-67270e2133c7,91.89915,35.25169,,8.58848,,,,1.03982,2.65178,-0.33472,29fdb2ae-b160-4348-bc08-7c6ecc6c1c1f,2025-02-14,21:51:41.78,2025-02-14T16:51:41.7801728-05:00,2025-02-14T21:51:41.7801728Z,,v3,471417,akron,,"Biggerstaff, Drew",1000268568,Right,RAD_HIG,5ebc7ef6-39f8-4cd2-a9c9-99faa158d235,53.06456,-132.28281,15.54147,5.77533,-3.79782,-8.20883,-2.68933,7.9865,-6.09192,18.033696,1.03982,-57.14958,1.36219,0.90575,-0.32275,0.09605,-0.00766,-0.01164,0.00558,2.65178,70.13054,-30.47413,4.57677,-1.00298,0.23571,-0.10566,0.07846,-0.02892,-0.33472,-44.05781,5.18934,0.67732,-0.33539,0.1102,0.00923,-0.03467,0.01478,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
7,2025-02-14,16:51:59.39,2,3,"Ladd, Raymond",811685,Right,RAD_HIG,"Poist, Jack",1000213165,Left,AKR_ZIP,Undefined,1,Top,1,1,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.69214,-1.718658,-3.609649,1651.590028,206.00103,12:45,5.68233,2.67024,7.75803,-20.27863,18.30399,8.25725,2.4491,0.12002,74.82397,-5.712878,-2.078139,0.447061,84.537,-14.494321,59.595637,,,,,11.01951,11.01951,49.141569,0.085794,-5.70752,11.02662,-2.4975,50,5.59471,7.33563,-120.1085,-3.94865,-8.21176,26.53626,-16.30936,RAD_HIG,AKR_ZIP,CarterMemorial,D1,BSOU,20250214-CarterMemorial-3,eb6309d0-eb1d-11ef-9d97-67270e2133c7,84.31154,2.66896,,7.86817,,,,1.98374,2.66896,-0.57011,29fdb2ae-b160-4348-bc08-7c6ecc6c1c1f,2025-02-14,21:51:59.39,2025-02-14T16:51:59.3927168-05:00,2025-02-14T21:51:59.3927168Z,GroundBall,v3,471417,akron,,"Biggerstaff, Drew",1000268568,Right,RAD_HIG,970e73c6-fe53-42b9-9ada-2bc0b8008011,52.74142,-120.71266,13.26813,5.68038,-3.57733,-8.15468,-2.66664,7.52259,-4.10588,,1.98166,60.90322,,,,,,,,2.67002,-31.10891,,,,,,,,-0.57365,103.78891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
8,2025-02-14,16:52:19.32,2,4,"Ladd, Raymond",811685,Right,RAD_HIG,"Poist, Jack",1000213165,Left,AKR_ZIP,Undefined,1,Top,1,1,2,Slider,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,83.8395,-0.083424,-1.448853,2253.975759,76.024561,8:30,5.64289,2.82126,7.11039,-40.06191,-1.76878,-12.26351,2.22869,0.48455,76.40733,-7.630138,-3.702875,0.445381,,,,,,,,,,,,6.11016,-0.5237,-2.7324,50,5.62634,3.49473,-121.95944,-1.26419,9.07646,27.06057,-32.95199,RAD_HIG,AKR_ZIP,CarterMemorial,D1,BSOU,20250214-CarterMemorial-3,f74555f0-eb1d-11ef-9d97-67270e2133c7,84.62962,,,7.43217,,,,,,,29fdb2ae-b160-4348-bc08-7c6ecc6c1c1f,2025-02-14,21:52:19.32,2025-02-14T16:52:19.3221120-05:00,2025-02-14T21:52:19.3221120Z,,v3,471417,akron,,"Biggerstaff, Drew",1000268568,Right,RAD_HIG,6432e95e-1835-4322-9012-8996537d8947,53.3908,-122.70949,13.53029,5.64872,-0.35084,-16.47599,-2.82578,3.24316,4.53823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-14,16:52:48.16,3,1,"Ladd, Raymond",811685,Right,RAD_HIG,"Bowman, Max",1000235230,Right,AKR_ZIP,Undefined,1,Top,2,0,0,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.3345,-1.323814,-3.898034,2232.333535,240.531575,2:00,5.66695,2.65494,7.73753,-22.40812,8.95071,14.03831,2.61011,0.32558,83.33003,-5.654366,-1.294399,0.403043,,,,,,,,,,,,-8.8606,5.61642,-2.46755,50,5.59807,8.59719,-132.7669,-3.57455,-15.73441,29.78525,-22.20053,RAD_HIG,AKR_ZIP,CarterMemorial,D1,BSOU,20250214-CarterMemorial-3,0878dea0-eb1e-11ef-9d97-67270e2133c7,93.51967,,,8.00447,,,,,,,29fdb2ae-b160-4348-bc08-7c6ecc6c1c1f,2025-02-14,21:52:48.16,2025-02-14T16:52:48.1621504-05:00,2025-02-14T21:52:48.1621504Z,,v3,471417,akron,,"Biggerstaff, Drew",1000268568,Right,RAD_HIG,a4528e7a-b83f-47e7-a22f-0d9e7c965e63,52.76411,-133.38557,14.89263,5.66753,-3.11342,-11.10027,-2.64951,8.924,-7.8672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-14,16:53:07.31,3,2,"Ladd, Raymond",811685,Right,RAD_HIG,"Bowman, Max",1000235230,Right,AKR_ZIP,Undefined,1,Top,2,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.93689,-2.145223,-3.546139,2330.614661,140.931571,10:45,5.65678,2.58515,7.28126,-30.30384,7.68599,-5.21945,1.18698,-1.06055,76.77815,-7.887849,-4.505485,0.443614,,,,,,,,,,,,1.74339,5.1852,-2.38404,50,5.52725,7.71685,-121.8584,-5.30472,2.5961,26.11133,-24.45275,RAD_HIG,AKR_ZIP,CarterMemorial,D1,BSOU,20250214-CarterMemorial-3,13e362b0-eb1e-11ef-9d97-67270e2133c7,84.96679,,,7.15874,,,,,,,29fdb2ae-b160-4348-bc08-7c6ecc6c1c1f,2025-02-14,21:53:07.31,2025-02-14T16:53:07.3139200-05:00,2025-02-14T21:53:07.3139200Z,,v3,471417,akron,,"Biggerstaff, Drew",1000268568,Right,RAD_HIG,22fd89df-197c-4f9a-aa42-f055e53bc5c1,53.21938,-122.54629,13.05566,5.65852,-4.66052,-12.22637,-2.58644,7.64846,1.29805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
